s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Abrikosovka,abrikosovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Abrikosovo,abrikosovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Aeroflotskiy,aeroflotskiy
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Agrarnoye,agrarnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Akimovka,akimovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Aleksandrovka,aleksandrovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Alekseyevka,alekseyevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Alupka,alupka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Alushta,alushta
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Amurskoye,amurskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Armyansk,armyansk
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Aromatnoye,aromatnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Azovskoye,azovskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Baherove,baherove
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Bakhchysarai,bakhchysarai
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Bakhchysarai Raion,bakhchysarai-raion
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Batalnoye,batalnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Belinskoye,belinskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Beloglinka,beloglinka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Belogorskiy rayon,belogorskiy-rayon
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Beregovoye,beregovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Berezovka,berezovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Bilohirsk,bilohirsk
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Blizhneye,blizhneye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Bogatoye,bogatoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Botanicheskoye,botanicheskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Bratskoye,bratskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chapayevka,chapayevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chaykino,chaykino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chelyadinovo,chelyadinovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chernomorskiy rayon,chernomorskiy-rayon
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chernomorskoye,chernomorskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chernopolye,chernopolye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chernovo,chernovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chernozemnoye,chernozemnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chernyshevo,chernyshevo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chervonoye,chervonoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chistenkoye,chistenkoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chistopolye,chistopolye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Chkalovo,chkalovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dachnoye,dachnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dalekoye,dalekoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dmitrovka,dmitrovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dneprovka,dneprovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dobroye,dobroye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dobrushino,dobrushino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dolinnoye,dolinnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Donskoye,donskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Drofino,drofino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dubki,dubki
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dzhankoy,dzhankoy
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Dzhankoyskiy rayon,dzhankoyskiy-rayon
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Feodosiya,feodosiya
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Filatovka,filatovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Fontany,fontany
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Foros,foros
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Frunze,frunze
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gaspra,gaspra
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Geroyskoye,geroyskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Glazovka,glazovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Golubinka,golubinka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gornostayevka,gornostayevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Alushta,gorodskoy-okrug-alushta
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Armyansk,gorodskoy-okrug-armyansk
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Dzhankoy,gorodskoy-okrug-dzhankoy
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Feodosiya,gorodskoy-okrug-feodosiya
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Krasnoperekopsk,gorodskoy-okrug-krasnoperekopsk
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Saki,gorodskoy-okrug-saki
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Simferopol,gorodskoy-okrug-simferopol
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Sudak,gorodskoy-okrug-sudak
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Yalta,gorodskoy-okrug-yalta
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gorodskoy okrug Yevpatoriya,gorodskoy-okrug-yevpatoriya
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gresovskiy,gresovskiy
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Grishino,grishino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Grushevka,grushevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Gurzuf,gurzuf
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Hvardiiske,hvardiiske
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ilychyovo,ilychyovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ilyichevo,ilyichevo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ilyinka,ilyinka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ishun,ishun
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ivanovka,ivanovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Izobilnoye,izobilnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Izumrudnoye,izumrudnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Izyumovka,izyumovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kalinino,kalinino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kalinovka,kalinovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kamenolomnya,kamenolomnya
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kashtanovoye,kashtanovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kashtany,kashtany
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kerch,kerch
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kerchens'ka Mis'ka Rada,kerchenska-miska-rada
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kholmovka,kholmovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kirovo,kirovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kirovske Raion,kirovske-raion
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kirovskoye,kirovskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Klepinino,klepinino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Koktebel,koktebel
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kolchugino,kolchugino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Koltsovo,koltsovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kolodeznoye,kolodeznoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Koloski,koloski
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Komsomolskoye,komsomolskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kondratyevo,kondratyevo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Konstantinovka,konstantinovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Koreiz,koreiz
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kormovoye,kormovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kostochkovka,kostochkovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kotelnikovo,kotelnikovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kovylnoye,kovylnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasna Zor'ka,krasna-zorka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnaya Polyana,krasnaya-polyana
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnoarmeyskoye,krasnoarmeyskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnoflotskoye,krasnoflotskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnogorka,krasnogorka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnogvardeyskoye,krasnogvardeyskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnohvardiiske Raion,krasnohvardiiske-raion
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnokamenka,krasnokamenka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnolesye,krasnolesye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnoperekopsk,krasnoperekopsk
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnoperekopsk Raion,krasnoperekopsk-raion
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnoyarskoye,krasnoyarskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnoye,krasnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnoznamenka,krasnoznamenka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krasnyi Mak,krasnyi-mak
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krayneye,krayneye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krestyanovka,krestyanovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krinichnoye,krinichnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krymka,krymka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krymskaya Roza,krymskaya-roza
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Krymskoye,krymskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kuibyshevo,kuibyshevo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kukushkino,kukushkino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Kurskoye,kurskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lgovskoye,lgovskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lekarstvennoye,lekarstvennoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lenine Raion,lenine-raion
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lenino,lenino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Leninskoye,leninskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lesnovka,lesnovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Levadki,levadki
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Listvennoye,listvennoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Litvinenkovo,litvinenkovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Livadia,livadia
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lobanovo,lobanovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lozovoye,lozovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Luchistoye,luchistoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Luganskoye,luganskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Lugovoye,lugovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Magazinka,magazinka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Malenkoye,malenkoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Malorechenskoye,malorechenskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Maly Mayak,maly-mayak
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Maryanovka,maryanovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Marfovka,marfovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Maryevka,maryevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Maslovo,maslovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Massandra,massandra
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mayskoye,mayskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mazanka,mazanka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Medvedevka,medvedevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Medvedevo,medvedevo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Melnichnoye,melnichnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mezhvodnoye,mezhvodnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Michurinskoye,michurinskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mikhaylovka,mikhaylovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mirnovka,mirnovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mirnoye,mirnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mirny,mirny
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mitrofanovka,mitrofanovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mityayevo,mityayevo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Molochnoye,molochnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Molodyozhnoye,molodyozhnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Morskoye,morskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Muromskoye,muromskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Muskatnoye,muskatnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Mysovoe,mysovoe
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Nasypnoe,nasypnoe
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Naydenovka,naydenovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Nekrasovka,nekrasovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Nekrasovo,nekrasovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Nikita,nikita
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Nikolayevka,nikolayevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Nizhnegorskiy,nizhnegorskiy
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Nizhnegorskiy rayon,nizhnegorskiy-rayon
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novoandreyevka,novoandreyevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novoestoniya,novoestoniya
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novofedorovka,novofedorovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novogrigoryevka,novogrigoryevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novoivanovka,novoivanovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novokrymskoye,novokrymskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novonikolayevka,novonikolayevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novoozyornoye,novoozyornoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novopavlovka,novopavlovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novopokrovka,novopokrovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novoselskoye,novoselskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novoselovskoye,novoselovskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novostepnoye,novostepnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novosyolovka,novosyolovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novozhilovka,novozhilovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Novy Svet,novy-svet
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Okhotnikovo,okhotnikovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Okhotskoye,okhotskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Oktyabr'skoye,oktyabrskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Oktyabrskoye,oktyabrskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Okunevka,okunevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Olenevka,olenevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ordzhonikidze,ordzhonikidze
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Orekhovo,orekhovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Orlovskoye,orlovskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ostanino,ostanino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ostrovskoye,ostrovskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pakharevka,pakharevka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Partenit,partenit
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Partizanskoye,partizanskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Partizany,partizany
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pereval'noye,perevalnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Perovo,perovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pervomayskiy rayon,pervomayskiy-rayon
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pervomayskoye,pervomayskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Peschanoye,peschanoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Petrovka,petrovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pionerskoye,pionerskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Plodovoye,plodovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pobednoye,pobednoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pochetnoye,pochetnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Poltavka,poltavka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Poshtove,poshtove
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pozharskoye,pozharskoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pravda,pravda
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Primorskiy,primorskiy
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Priozyornoye,priozyornoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Privetnoye,privetnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Prostornoye,prostornoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Prudovoye,prudovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Prudy,prudy
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pshenichnoye,pshenichnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pushkino,pushkino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Pyatikhatka,pyatikhatka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Razdolnenskiy rayon,razdolnenskiy-rayon
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Razdolnoye,razdolnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Rodnikovo,rodnikovo
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Romashkino,romashkino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Roshchino,roshchino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Roskoshnoye,roskoshnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Rovnoye,rovnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Ruchi,ruchi
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Rusakovka,rusakovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Rybach'e,rybache
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Sadovoye,sadovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Saki,saki
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Sakskiy rayon,sakskiy-rayon
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Sary-Bash,sary-bash
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Semisotka,semisotka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Senokosnoye,senokosnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Serebryanka,serebryanka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Shchebetovka,shchebetovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Shchyolkino,shchyolkino
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Shelkovichnoye,shelkovichnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Shirokoye,shirokoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Shkolnoye,shkolnoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Shtormovoye,shtormovoye
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Simeiz,simeiz
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Simferopol,simferopol
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Simferopol Raion,simferopol-raion
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Sinitsyno,sinitsyno
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Sizovka,sizovka
Ukraine,UA,Autonomous Republic of Crimea,autonomous-republic-of-crimea,Skalistoye,skalistoye
