s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Lithuania,LT,Akmene District Municipality,akmene-district-municipality,Akmene District Municipality,akmene-district-municipality
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Alytaus rajonas,alytaus-rajonas
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Alytus,alytus
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Daugai,daugai
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Druskininkai,druskininkai
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Lazdijai,lazdijai
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Simnas,simnas
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Varena,varena
Lithuania,LT,Alytus City Municipality,alytus-city-municipality,Veisiejai,veisiejai
Lithuania,LT,Alytus County,alytus-county,Alytus County,alytus-county
Lithuania,LT,Alytus District Municipality,alytus-district-municipality,Alytus District Municipality,alytus-district-municipality
Lithuania,LT,Birstonas Municipality,birstonas-municipality,Birstonas Municipality,birstonas-municipality
Lithuania,LT,Birzai District Municipality,birzai-district-municipality,Birzai District Municipality,birzai-district-municipality
Lithuania,LT,Druskininkai municipality,druskininkai-municipality,Druskininkai municipality,druskininkai-municipality
Lithuania,LT,Elektrenai municipality,elektrenai-municipality,Elektrenai municipality,elektrenai-municipality
Lithuania,LT,Ignalina District Municipality,ignalina-district-municipality,Ignalina District Municipality,ignalina-district-municipality
Lithuania,LT,Jonava District Municipality,jonava-district-municipality,Jonava District Municipality,jonava-district-municipality
Lithuania,LT,Joniskis District Municipality,joniskis-district-municipality,Joniskis District Municipality,joniskis-district-municipality
Lithuania,LT,Jurbarkas District Municipality,jurbarkas-district-municipality,Jurbarkas District Municipality,jurbarkas-district-municipality
Lithuania,LT,Kaisiadorys District Municipality,kaisiadorys-district-municipality,Kaisiadorys District Municipality,kaisiadorys-district-municipality
